pin,property_a,house,street_dir,street_nam,street_typ,apartment,prop_city,prop_zip,land_value,improvemen,total_valu,class,school_dis,numbldgs,bldg_numb,bldg_sf,bldg_story,bldg_yrblt,bldg_desc,quality,condition,acres,sq_feet,centroid_latitude,centroid_longitude,source_county
0621880000,6932 WIRT ST,6932, ,WIRT,ST, ,OMAHA,68104,18700.0,97900.0,116600.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,684.0,1.0,1912.0,Ranch,Average,Average,0.15,6750.0,41.28714380280815,-96.02061617212232,douglas
0632040000,2315 N 75 ST,2315,N,75,ST, ,OMAHA,68134,22400.0,213300.0,235700.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1006.0,1.0,1955.0,Ranch,Average,Good,0.45,19998.0,41.28063311794739,-96.02802704699161,douglas
0643430000,4413 REDICK AV,4413, ,REDICK,AV, ,OMAHA,68112,6700.0,63500.0,70200.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,720.0,1.0,1955.0,Ranch,Average,Fair,0.16,7020.0,41.3173501923951,-95.97903210229599,douglas
0643860000,9975 BLOOMFIELD DR,9975, ,BLOOMFIELD,DR, ,OMAHA,68114,98400.0,957600.0,1056000.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,6649.0,1.5,1958.0,1 1/2 Story Fin,Very Good,Good,1.48,64746.0,41.27005255253452,-96.06969149824187,douglas
0643900000,10010 BLOOMFIELD DR,10010, ,BLOOMFIELD,DR, ,OMAHA,68114,80900.0,1055000.0,1135900.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,4337.0,1.0,1970.0,Ranch,Very Good,Good,0.87,38009.0,41.270730904623655,-96.07055469879388,douglas
0701080000,3924 N 18 ST,3924,N,18,ST, ,OMAHA,68110,9500.0,121600.0,131100.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1460.0,2.0,1910.0,2 Story,Average,Average,0.13,6000.0,41.29584798615658,-95.94022984553403,douglas
0701470000,1721 SPRAGUE ST,1721, ,SPRAGUE,ST, ,OMAHA,68110,8900.0,103800.0,112700.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1168.0,1.5,1915.0,1 1/2 Story Fin,Average,Average,0.07,3200.0,41.29580928861317,-95.9395863530478,douglas
0722075322,10963 JEFFERSON CR,10963, ,JEFFERSON,CR, ,OMAHA,68137,36900.0,247900.0,284800.0,R,MILLARD PUBLIC SCHOOL DISTRICT,1.0,1,1623.0,1.5,1985.0,Tri Level,Average,Average,0.21,9300.0,41.19501255914598,-96.08443983595552,douglas
0722075554,11018 Z ST,11018, ,Z,ST, ,OMAHA,68137,34500.0,210400.0,244900.0,R,MILLARD PUBLIC SCHOOL DISTRICT,1.0,1,1154.0,1.0,1984.0,Split Entry,Average,Average,0.17,7680.0,41.19711775888455,-96.08540332838433,douglas
0722075780,6313 S 115 ST,6313,S,115,ST, ,OMAHA,68137,34700.0,200200.0,234900.0,R,MILLARD PUBLIC SCHOOL DISTRICT,1.0,1,1150.0,1.0,1984.0,Mult Level,Average,Average,0.17,7800.0,41.19488557843113,-96.08899000702247,douglas
0723090000,1511 S 56 ST,1511,S,56,ST, ,OMAHA,68106,21500.0,268200.0,289700.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1110.0,1.0,1951.0,Ranch,Average,Average,0.13,5989.0,41.2449271096504,-95.99952416332869,douglas
0729940000,6623 GLENWOOD RD,6623, ,GLENWOOD,RD, ,OMAHA,68132,26600.0,322100.0,348700.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1922.0,1.0,1959.0,Raised Ranch,Average,Average,0.27,12104.0,41.268441420067006,-96.01544788629917,douglas
0730250000,2933 CHARLES ST,2933, ,CHARLES,ST, ,OMAHA,68131,16700.0,74000.0,90700.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1674.0,1.5,1900.0,1 1/2 Story Fin,Average,Fair,0.13,5715.0,41.27260598000748,-95.95599339718717,douglas
