licensed_company_name,source_county,job_count,median_job_value,median_forest_point_estimate,median_comp_median,median_recommended_band_low,median_recommended_band_high,first_seen,last_seen
Weddle and Sons Inc,douglas,1,13800.0,15115.743545059904,23000.0,7828.978000000001,88844.8115,2026-04-08,2026-04-08
J HENRY HOMES,douglas,1,13281.12,15515.544262505822,13683.0,7841.25,30539.749999999996,2026-04-07,2026-04-07
PACIFIC PARTNERS GROUPS,douglas,1,13000.0,15043.321781141653,23890.555,10606.99,40873.39999999998,2025-11-11,2025-11-11
EDGAR ROOFING CO,douglas,1,12500.0,10138.936143548304,8050.0,4307.055,26534.399999999987,2025-12-09,2025-12-09
7309 Kilpatrick Parkway,douglas,1,12000.0,14423.023894443031,14537.939999999999,7505.7885,44299.99999999998,2026-03-31,2026-03-31
ANTOINE CONSTRUCTION,douglas,1,12000.0,11349.002974113422,10250.415,5186.463,29513.25,2025-11-12,2025-11-12
Dethlefs Homes,douglas,1,12000.0,9090.853394852133,9237.814999999999,1875.0,14450.0,2025-11-18,2025-11-18
GOLDEN EXTERIORS & REMODELING,douglas,1,12000.0,9832.380799687166,10894.5,500.0,21332.39999999999,2025-11-06,2025-11-06
MICHAEL'S ROOFING & RESTORATION LLC,douglas,1,12000.0,8852.685566732405,6400.255,1439.25,13799.999999999996,2025-11-11,2025-11-11
SUPERLATIVE RESTORATION,douglas,1,12000.0,7334.533075963161,7000.0,1439.25,15450.0,2025-12-04,2025-12-04
TK REMODELING,douglas,1,11269.42,8754.079996443303,5000.0,500.0,13823.549999999997,2026-03-16,2026-03-16
SIEFKEN CONTRACTING INC,douglas,1,11216.0,9648.506863855235,9080.96,5952.75,17395.1865,2026-04-14,2026-04-14
706 N 129th St Ste 117,douglas,1,11000.0,11778.226573207372,13680.0,8089.02,22799.999999999996,2026-03-23,2026-03-23
BAHENAS ROOFING LLC,douglas,1,11000.0,11578.289086784605,10206.630000000001,4535.0,16131.448999999999,2025-11-20,2025-11-20
"JDM ROOFING, LLC",douglas,1,11000.0,10010.462252758223,9206.630000000001,5765.3,19867.59249999999,2025-11-01,2025-11-01
ROCKET ROOFING,douglas,1,11000.0,7917.618426746039,6337.535,3967.87,11772.706999999999,2026-03-26,2026-03-26
HOMESHIELD ROOFING & EXTERIORS,douglas,1,10950.0,12006.043237859541,16693.5,9619.1955,25614.949999999997,2026-02-24,2026-02-24
GINGERICH STRUCTURES,douglas,1,10500.0,11944.524802158938,8342.555,2430.0,30627.649999999994,2026-02-19,2026-02-19
